iter	Logloss
0	0.684006701
1	0.6762886341
2	0.6692493891
3	0.663946583
4	0.6574793628
5	0.6517151874
6	0.6463105395
7	0.6423224985
8	0.6379597873
9	0.6341094811
10	0.6303854166
11	0.6273012183
12	0.6239261339
13	0.6218384585
14	0.6202970152
15	0.6175532082
16	0.6151357764
17	0.6138266327
18	0.6115833982
19	0.6102332306
20	0.6090429791
21	0.6071646551
22	0.6060310147
23	0.6050458244
24	0.6040552789
25	0.6030513906
26	0.6019326449
27	0.6010113115
28	0.6001387288
29	0.5993503362
30	0.5986201454
31	0.5978852856
32	0.5972071457
33	0.5964523659
34	0.5957650958
35	0.5950110747
36	0.5940568886
37	0.5930464243
38	0.592345794
39	0.5918199938
40	0.5913466121
41	0.5902566745
42	0.58982012
43	0.5893510275
44	0.5885841501
45	0.5880810313
46	0.5876208962
47	0.5870829244
48	0.5866504734
49	0.5860275251
50	0.5856726829
51	0.5852812724
52	0.5847975888
53	0.5846108986
54	0.5843059802
55	0.5840162045
56	0.5832501868
57	0.5828587451
58	0.5824946475
59	0.5822641294
60	0.5820124798
61	0.5816462743
62	0.5810252822
63	0.5807740139
64	0.5801696526
65	0.5798077784
66	0.579469338
67	0.5792188982
68	0.5789842804
69	0.578704791
70	0.5784770501
71	0.578441412
72	0.5782869043
73	0.5780256502
74	0.5778209296
75	0.5776070718
76	0.5774303821
77	0.5772435086
78	0.5770105473
79	0.576902996
80	0.5766950396
81	0.5765218971
82	0.576315876
83	0.5762147348
84	0.5758866771
85	0.575722473
86	0.5755284275
87	0.5753652247
88	0.5749522772
89	0.5748424202
90	0.5746992177
91	0.57453896
92	0.5744074992
93	0.5743094094
94	0.5741330963
95	0.5739608037
96	0.5738280082
97	0.5736373229
98	0.5734715292
99	0.5733980493
100	0.5731961861
101	0.5731845971
102	0.5730491351
103	0.5729582604
104	0.5727668125
105	0.5726820373
106	0.5725443909
107	0.5723887061
108	0.572319553
109	0.5721525706
110	0.5719524352
111	0.5717543443
112	0.5716713589
113	0.5715010506
114	0.5711850724
115	0.5710450174
116	0.5709558123
117	0.5708928526
118	0.5707620011
119	0.5706032496
120	0.5704840203
121	0.5703516
122	0.5702291799
123	0.5698444377
124	0.5697434595
125	0.5696140313
126	0.5696043693
127	0.5695066936
128	0.5694857825
129	0.5694097454
130	0.5692981451
131	0.5691480428
132	0.5690617458
133	0.5689404883
134	0.5688054476
135	0.5684770154
136	0.5683444542
137	0.5682542538
138	0.5681559663
139	0.5680178944
140	0.5678783326
141	0.5678362486
142	0.5677604647
143	0.5677000462
144	0.5676796915
145	0.5675939627
146	0.567484754
147	0.5673674016
148	0.5672621818
149	0.5671861531
150	0.5670899477
151	0.5669475517
152	0.5668049978
153	0.5666844141
154	0.5666190276
155	0.5663385592
156	0.5662085494
157	0.5661021585
158	0.5659929547
159	0.5658996381
160	0.565838649
161	0.5657171567
162	0.5655825691
163	0.5654951452
164	0.5654416156
165	0.565308249
166	0.5651991997
167	0.5650949535
168	0.564925538
169	0.5648573166
170	0.5647853421
171	0.5647346721
172	0.5646347944
173	0.5645477164
174	0.5644723205
175	0.5643602065
176	0.5642579147
177	0.564227574
178	0.5640770919
179	0.564034842
180	0.5639542816
181	0.5638563582
182	0.5637886146
183	0.5636581989
184	0.5635501091
185	0.5635009667
186	0.5634479613
187	0.5633603233
188	0.5632839494
189	0.5632533532
190	0.5630655239
191	0.562968011
192	0.5629396521
193	0.5628701102
194	0.5627537714
195	0.562696342
196	0.5626578063
197	0.5626030948
198	0.562483466
199	0.5624082941
200	0.5623042296
201	0.5622276715
202	0.5621641193
203	0.5621116592
204	0.5619769602
205	0.5619138561
206	0.5618268415
207	0.5616807296
208	0.5616218983
209	0.5615601745
210	0.5615077161
211	0.5614430861
212	0.5613179911
213	0.5612780533
214	0.5611829908
215	0.5611264838
216	0.5611128963
217	0.5611039285
218	0.5610658687
219	0.5609612665
220	0.5608716354
221	0.5607824325
222	0.5607394847
223	0.5606668473
224	0.5606668469
225	0.5605338534
226	0.5604539493
227	0.5603309427
228	0.5602906003
229	0.5601356439
230	0.5600756597
231	0.5600193317
232	0.5599439195
233	0.5599382093
234	0.5599302482
235	0.5598726976
236	0.5597751586
237	0.559704746
238	0.5596673307
239	0.5595836416
240	0.5594857764
241	0.559394664
242	0.5593946613
243	0.5593010489
244	0.5590699088
245	0.5590109833
246	0.558930953
247	0.5588710597
248	0.5587884485
249	0.5587055294
250	0.5585979795
251	0.5585402589
252	0.5584612471
253	0.5583371301
254	0.5582650131
255	0.5581493316
256	0.5580407216
257	0.5580332937
258	0.557936071
259	0.5578743878
260	0.5577375654
261	0.5577143758
262	0.5576149724
263	0.5575691284
264	0.5574887702
265	0.5574800291
266	0.5573722252
267	0.5573193167
268	0.5572708105
269	0.557195715
270	0.5570563988
271	0.5569931667
272	0.5569417144
273	0.5569128899
274	0.5568351152
275	0.5567379415
276	0.5566398451
277	0.5565487189
278	0.556548715
279	0.5563627555
280	0.5562587687
281	0.5561824523
282	0.5560695609
283	0.5559981527
284	0.5559448822
285	0.5559164233
286	0.5557974524
287	0.5557291895
288	0.555666533
289	0.5555722448
290	0.5554985571
291	0.5554434728
292	0.555417886
293	0.555414559
294	0.5552584982
295	0.5551747022
296	0.5550960783
297	0.5550021752
298	0.5549109521
299	0.5548286855
300	0.5547363406
301	0.5546259696
302	0.5544496451
303	0.5543492835
304	0.5542570116
305	0.5541223586
306	0.5540351466
307	0.553921322
308	0.5538792598
309	0.5537655968
310	0.5536963567
